看到***~买的，发货速度挺快
好用，比较滋润
一如既往地好，一直用的这款面膜，正在搞活动就买了
很棒
这个真的物美价廉，我油皮，以前用的是kiss me ，就是想买个试试，反正便宜，没想到这么好用，这个牌子只要不倒闭，我就一直买
用了几天了，效果不错 满意
不好，容易掉色，卡
一直使用***，双11确实比平时优惠，希望质量能保证。
质量不错。喜欢。
不得不说这个物流是非常慢了，指甲油并不是很好涂，容易结块
非常好看，美美哒，喜欢，值得购买！
真的不怎么样，不上妆
上妆效果：就还行 持久情况：感觉三四个小时吧 整体描述：也就还行 适合肤质：中性皮肤
感觉还可以，很划算，好用再来
收到了哦！我很喜欢这个淡淡的香味，而且白的自然，超喜欢！用着好还会再买的！
刀架子不好。根本就不能用，便宜没好货
不要买，什么玩意啊，我都不想说什么了，全部都分家了，客服我也不满意，就当买了个教训，再也不会买了
这个买过好几次了，用着还不错
买了两次了，给麻麻用，效果很好
用起来还不错，在她们家买个眼霜还有乳液我感觉都挺好用的价格也实惠
洗面奶好用，正好我的备用用完了，物流到货也很快
感觉上色不够好
非常好真的好喜欢好帖
很划算，好评
超级超级难用，难用的我不想说啥
混干皮夏季用刚刚好
上妆效果：牛逼  超级好用 
发生点小意外，客服热心的又补发了一支～～～ 还没用，用过后会追加评论的
个人情况：还行吧  味道有点重  刚用没几天  洗完之后感觉就像没洗干净的那种  个人不是很满意 
***的面膜挺好的我一直在用，这次买的很划算买一送共40片，够用上一阵子了。
粉很细腻，上脸效果很好，开始以为是一个，原来装在一起的，很满意
一直相信品牌的力量！价格实惠，赠品丰富，质量很好！
不理想，混合肤质，感觉洗不干净  泡沫也不细腻  失望??
上妆效果：满好的， 适合肤质：效果不错，很自然，
不错，到货快，服帖，一共45片
挺持久，哑光的，不易脱妆，喜欢
清洁能力：洗面奶很好。味道也挺好闻。也挺好用的。好评
挺好的，包装精美漂亮，一看就是正品
用了一段时间，还不错，挺好用的
一般般的效果
吸收挺快的。用了几天。这得坚持使用才能看到效果，活动期间购买的，很划算，送了好多小样
泡面膜敷上脸生疼！！！！！
买给妈妈的，趁活动买的送了四瓶小样，暂时还没用，等她用了再来追评。
是正品，香味浓郁，遮瑕效果非常好
不错不错，挺好的
还没有使用，希望能如我所愿！送了很多东西，谢谢店家，谢谢客服
不油腻 很赞
用起来还可以，不能遮暇，希望别长痘
正品的，希望有好效果
感觉还可以 希望能不错吧 物流很快
物美价廉，非常满意，用了3天补水效果很好，面膜也很薄，贴在脸上大小也刚好，值得购买
用着还不错，挺实惠的！应该能用上一阵子！
洗面奶很不错，洗完脸不紧绷，温和不刺激，好评
新年收到了，试用了下，效果不错，温和无刺激，洗着河南师范，很满意。
宝贝一如既往的好，已是老顾客了，是正品，用完还来，祝卖家生意兴隆，财源滚滚！
非常细腻的一款面霜！等着蜕变啦～
包装盒压扁了，快递很负责的让我打开看看有没有破损，第一次用这个牌子的护肤品，好用会回购的
香皂收到了，非常好
双十一买过，质地比较清爽，现在又买了
我还是更喜欢用另一款洗面奶，这款还好
非常好的面膜
质量不怎么样，挤了好多也没什么泡沫，感觉洗不净的样子，很不开森，是我用过洗面奶最垃圾的一次。
非常好用 已经是第三四次了
便宜好用！特别贴合面部，精华多，我敷完了剩下的精华还能让老公敷敷
这个面膜还还好吧，有钱人用贵的，没钱人用便宜的。
刚用了一次看不出效果 质感还可以 先好评吧
蛮合算的，涂着也舒服好用！！
一直用的***，很不错的一老牌子，送的两片我送朋友试用了
很划算，但是现在价格没有原来美好了，呜呜呜，抢到了19ml的，开心，这个效果一直棒棒，也实惠
吸收情况：质地比较稀，很好吸收，不和后续面霜搓泥 滋润及保湿：暂时还没感觉到美白效果，希望这瓶用完可以变白
成膜较慢，油腻，使用效果一般
也就那样，
刚刚拆开，还没有有用，整体感觉还不错，待用过后在追评！
东西收到了，包装完好，洗得很干净，关键是很温和，不刺激皮肤，洗完之后非常清爽，不紧绷。
扫码是正品
宝贝收到了，还没有用，感觉不错。用过他家的化妆品，挺水润的。物流杠杠的！喜欢??
凑单买的，超级划算，家里常备品，多囤一些，物流也超级快，一如继往地支持**商品??????
味道可以的！用的也不错噢
整体描述：刷子不好 
太不容易干了 干凉着或者烤灯 一碰还是会花
好用，洗完不紧绷，很舒服
第二次买了，真的超级好用
比想象中的好很多，补水保湿不油腻
什么破刀架塑料软软的，怎么给别人修眉
盒子还坏的 差评
也太容易断了
货已收到，和图片一样好，物美价廉，不错??
买一送一，相当于半价，***上看的好评无数，登我用了再来追评
东西质量很好！还会回购！
宝贝很好 喜欢 赶紧购买吧
好用呐，用了好几年了，混合型肌肤，一定用清爽，中间又换过不合适又换回来了，还是觉得****最好用
用后皮肤很滑，还买了水和乳来搭配，完美，
有些油 适合干皮
很好用 用完继续买
各种好用，必须用一瓶囤一瓶。 发货很快，包装仔细，完好无损。
收到了，用着挺不错的
第二次购买了，质量好，效果很好，非常满意
色号都能发错，不细心
其中有一片包装坏了，水漏的其他上面都是
一直用的都是这个牌子，挺好的，很薄，水分又多，最主要是做完面膜不用洗，我比较懒
给妈妈买的，好用
效果很好，用完再来
商品是正品哦，很补水的哦，**的服务跟物流棒棒哒
好用，第二瓶了
颜色很暗淡，涂起来也不顺
快递师傅很给力，????
收到宝贝拉！很喜欢??也超级好用哦。建议购买
个人情况：满意  用着也挺清爽的 清洁也可以  用过感觉脸就好白了  年纪24
鼻贴很好用
本来是想给好评的 因为痘痘少了一点 但是慢慢的又起来了 并且脸跟脖子都在起 还痒 并且伴有大片小红疙瘩
好用，洗完脸不会很干
很喜欢这款睫毛，贴出来也好看还很自然
帮闺蜜买的emmmm 感觉盖子高级感
**的物流值得信赖，产品很满意。
洗面奶很温和，算是一款值得入手的洗面奶了，还没了除螨喷雾，夏天除螨要做全套哟~
宝贝很好物流也是很给力的
滋润及保湿：保湿持久 哈哈哈 太好用了 而且赠品也多
瓶子好好看 舍友都说好看哈哈
东西超级不错，细腻不起块。配送员服务超好，点赞！
很好用！买了好几次了！最近好喜欢泰国的小水！！！安利
还送了好多东西，嘻嘻嘻，夸一下，快递员特别有耐心
粉底液很轻薄，一直以为自己皮肤暗，下次次选个白点的更合适
好用 适合肤质： 混油皮
垃圾眉刀根本刮不动
很好，有一点增白的效果，准备再买一套补水的
肤色自然，提亮肤色，很细腻
当天到货，才拿到就打开试用，涂在手上我用湿毛巾擦都擦不掉，清香型，很喜欢
用了一天，还不错。很细
看着挺好，不知道用了效果怎么样？
用了舒服
不错，第一次买这隔离霜，?上好自然
买一赠一很划算
这么长一支笔就这么点芯，太坑了，而且不好上色。差！
超级贴心的服务，隔离霜有淡淡的香味，试用了下也蛮保湿的！送的赠品也很好
宝贝收到了，第一次试用这个牌子的，是朋友推荐的说效果很好就买了一个，这几天试用了一下，效果还不错，温和不刺激
一点都不黏更本撕不掉
宝贝收到啦！物流很快哦，发货也快！收到宝贝是我想要的样子，喜欢喜欢！掌柜人特别好，下次还会再来的！满分！
轻薄清爽不油腻
听朋友介绍的说很好用就买来试试，价格也合适
整体描述：一般 
用了之后感觉皮肤水水润润的，补水用这个真的很好
好用，补水效果很好，女神节活动，很实惠
感觉还不错 一开始有点疼 慢慢后面就不会了
第一次用，感觉还不错，就是瓶盖设计好巨大呀，看到那个盖子我感觉我要使出洪荒之力才能打开，哈哈哈哈
宝贝不错，还可以，好好好好好，宝贝不错，还可以，好好好好好宝贝不错，还可以，好好好好好
还不错，用完再来分享
妈妈一直用的***，这次送给她，很开心的
贼好用，炒鸡炒鸡喜欢
女朋友挺满意的，不错
超好用，不卡粉，涂完它，都不用再涂气垫了
用了几天了感觉效果很好，洗的很干净，清爽不油腻，还送了不少赠品谢谢老板！
面膜早就收到了，还没用。一直觉得这牌子还行吧！试试看！**物流很快呢。
第一次买这个牌子，非常不错的一款隔离，如T区比暗黄擦上有很明显效果，还不容易脱妆。
很好用，价格便宜，实惠款
效果可以的
还不错，有两个替换装味道香，但不刺鼻，可能有点儿掉妆
挺显白的，就是涂抹的时候需要用力涂抹，因为它不容易推开
超级好用，超级划算！！！购买N次一如既往地好！还会继续光顾！！！
很多精华液，面膜纸是薄透的，期待效果
宝贝收到了，货真价实，超级划算！
第一次买，遮瑕，保湿效果非常好。下次还买。
不错，喜欢
东西已经收到了，快递太快了，还没有用，用后好再追评。
很好用 之前买过，很自然，很舒服
很不错，清澈
非常好 粉扑软软的 洗刷水很有分量
非常满意
超赞，吸收快，皮肤也感觉光滑细腻了。保湿又滋润
粉质太差了，
非常喜欢
是正品  很好 这个牌子用了好久了  不过敏
买回来就用了，很好喜欢
辣眼睛，涂上都眼泪，也没进眼睛里
很棒很服帖不会浮粉，很显白哦，
用过一次觉得还可以，不会过敏，这个价位已经很好了，良心商家，鼻翼那会有点洗不干净可能是我自己的问题吧，喜欢的刻意购买&hellip;
我肤色偏白这个颜色挺自然的，不假白，物流特别快，发的顺丰，开心开心
朋友推荐，相当好用，还送了湿巾，一定会再购的
好好好
只有一个塑封袋，也没有盒子感觉好假好假。真心觉得不开心
质量很不错的，挺好
喜欢，以后会不断回购的那种，画眉很自然
贼垃圾的一次购物，看着包装好看，但是里边的中看不中用，真的是都不知道好评都是怎么来的。谨慎入坑啊！
严重油漆味
感觉不错，颜色很正，已经是第二次购买了，还会再买的。
水润清凉，肯定是正品，效果也不错！
不错，挺细腻的
送朋友的，朋友看到了说还不错
很不错呀，满满的一大罐，小包装的卫生又方便～～证明还有卫生许可证号，非常正规啦，用着放心
货收到了，快递很给力，一直用这款！
快递一到就碎了 不靠谱
老客户了，好评
颜色有很大差距 很干
味道难闻干的没法涂质量难以描述的差??????????????????
不错，挺好用的
买回来的时候就断掉了，质量太差了
不是很显色
不好 味道太重了 而且很难干 涂上也不好看！！！
眼影盘收到就是碎的
没有图片上好看，质感也不是很好，马马虎虎，挺失望的，朋友说看着这个镜子巨土。。。。
昨天买的今天下午就到了，物流快，辛苦快递小哥了！！今天第一次用，不知道怎么样呢！
赠送的，挺好的
可以 买给老妈的 老妈一直用****的产品
还行吧，太香了，泡泡比较少，不太喜欢很香的护肤品
眉笔还没用就断了不好
挺滋润的，刚用还没看到美白
很好用 分量很足 可以用很久 上脸不厚重
用后效果很好，很清爽，下次还会回购
熬夜必备神器 趁活动用了优惠券买的 超级便宜 还送了小样和洗面奶 超值
很喜欢***，相信大牌的力量 坚持用很不错
洗面奶收到，起泡很快，无刺激，有一股清香味，店家送的配件也很丰富
快递员也是醉了，超级差
上妆效果：遮瑕 持久情况：半天
好
混油皮，很怕油腻，这款很清爽，一点都不油，有没有白现在还看不出来，还行吧
物流快，一直用的***，好评
挺好的，一点都不油腻，我是混合性皮肤，挺适合我的。
六一八买的，还没用，有点小贵了
不错，洁面很温和
感受到了沉甸甸的重量 是我用过最大瓶的乳液 外观也很好看啊
一直在这家买的。推荐朋友了，是正品，比实体店便宜
6.18买的，很划算，还送了小样，霜很轻薄，夏天用刚好
价位经济实惠，这款面膜用着挺好的，挺补水的
东西收到了，效果不错，很满意，和商家描述的一样，下次有需要还来购买
很好的隔离霜，之前买过的用了，感觉还不错，就给同事也回购了一瓶。同事也很喜欢。
用着还行
不容易掉色 能维持蛮久的 而且价格也合算的
还不错，挺自然，遮瑕不太好，不是专门遮瑕的
用了几天，脸上都起红疙瘩了
买来囤货的，还没用，用了再追加评论，先好评。
很好很自然，很香，两个替换，好划算
太锋利，被割破两次了
已经用过好几盒了，很好用，而且不过敏。天天敷也不心疼啦
货收到了，很不错
滋润及保湿：保湿效果不错，一直在用的。卖家服务态度很好，发货速度也快，很满意！
一直给妈妈买的这款洗面奶，正好赶上打折，很划算，比平时便宜，还包邮。
以后就选**了，正品
买给妈妈的，她说好用
很好很喜欢 划算
已经回购第二支了 本人混油 持久还可以吧。
第二次回购了，朋友们都以为是接的很漂亮
清爽的乳液，涂起来不闷
洗面奶很温和不刺激，清洁不错
很好看啊，小镜子很精致也方便带出去
东西很好用，面膜很服帖，实体店好贵呢，才几片，这次可以用两个月了
给老婆买的，比实体店便宜不少。
这是我买过最差的指甲油了，真的超级超级渣！涂了还没几天就掉了，味道特别浓，主要是都没坚持4天，什么东西。。现在出门还得重新涂。烦！
好用 很好吸收 而且一点也不油腻 适合夏季
宝贝收到了，用起很好，涂上睫毛一根是一根的，闻起还有淡淡的香气，推荐大家购买。
到货晚上用了一片，很水润，也跟服帖，用着很好
用过一个了 遮盖力一般 但是很滋润 很好用
喜欢用***的面膜，有些问题**客服也该解决了
15分钟就干巴巴的了，不理想
还么用，看着不错，期待效果，物流超级给力！
中通快递，态度差到极点，十分讨厌，差评
老婆说是正品，有待验收，过段时间继续追评。赠品也不少
颜色太难看了，擦上嘴上还起皮！垃圾
买了2套很划算
扫了二维码，上面显示是正品，没有用过，打开很香，希望用了之后与期的好
好喜欢这款防晒，不油腻，通勤用的足够了
太快了，容易把眉毛割破皮
二次回购，很喜欢
我才用了两天  感觉还不错第一次用我一直用***的护肤品  挺喜欢用的
不好涂
用起来很舒服，清洁比较彻底，不干燥
好评，还会回购
宝贝很好，哑光效果，混油皮脱妆不严重，这个色号颜色偏深，建议小仙女买偏浅色的，总体感觉不错，推荐给大家
暑假宅不出门保养皮肤用这个搞 用过*** 效果一般据说这个更猛期待效果 待后续追评  买30ml赠30ml nice啊
打底不错，不是太干！
上妆效果：眉笔虽然便宜，但也不至于用了两次直接中间的芯子直接断掉的情况！不推荐购买 姐妹们还不如去买爱丽小屋的 
快递公司把货送丢了态度太差了
很不错，包装精致还没开始用呢～
快递服务态度很差，要投诉他们，东西还没用以后在追加评论吧
一如既往的好
很好，一直用这个牌子，物有所值
第一次用这个牌子的护肤品，不知道怎么样，用用看效果怎么样吧，如果可以就继续回购，物流很快。
不好用 不易上色 
包装很好，堪称完美。还没有使用，看着感觉应该不错。朋友介绍给我的。
东西正经不错，好东西和大家分享，希望你买了也会喜欢?
第二次购买  挺好的
刚收到货，打开试用了一下，卸口红，都卸不掉，这还是卸装水吗？
给家里人买的 应该还不错
用后很清爽，不油了。
包装很好，一点都没有破损，物流很快，昨天买的，今天就到了，还会回购
不错送了6片面膜用了感觉不错
给我妈买的 她觉得挺好的 活动买比较划算 应该还不错吧 一直买**** 发货也很快
不错呢
很喜欢  物美价廉
好好好已经收到两三天了忙的忘给好评了呵呵呵&hellip;已经使用了两片一直都在用***.真的很好用，这次的面膜也是真的是很给力超赞??????????
还不错，挺好用的~很大一只~
真是垃圾眼影 不上色 还不持久 颜色丑到爆！！！！
宝贝收到了，物流特别快，是我理想的
买给妈妈的，她很喜欢
宝贝收到了，使用过后才来评价的，宝贝很好用，效果很好
粉比较粗，一点都不细腻
色差特别大，客服不说那是青泥我的不知道，跟棕色一样
油皮亲妈不是白叫的，粉质细腻很好上妆 ，遮瑕力也很好，装感自然，配合定妆粉真的非常棒了适合学生党入手奥
送了四瓶小样真的大爱 用起来还不错呢 物流速度也超级快
很划算，希望好用
特别好用，使用感超级好，90g很大一只了，性价比很高，喜欢～
用完来评价 很好上色 也不飞粉 颜色也都超级漂亮 推荐购买
还好
宝贝收到了，物流非常快，宝贝非常喜欢
滋润及保湿：滋润和保湿效果不错
**的效果还是挺好的，再来哦
一如既往的好用
赠品很好，用了后丝润光滑
产品非常好，值得购买，质量过硬
很好用，我用的不错，大家可以购买的
看推荐来买的，感觉还可以。
送来都是断的根本没法用
太划算啦，对这次购物太满意了，这价钱买这个绝对值
活动价特别实惠！
宝贝收到了一大堆，满心欢喜，***大品牌支持。
给妈妈买的，妈妈很喜欢
一点不好用，刀片不快，刀架装上刀片松的不行！
真的非常棒，从来没想过这么好用，真的非常适合我这种混油皮，很容易吸收，不油腻，味道也很好闻，真的真的值得购买～
哈哈，全拿的补水面膜  都说这个补水效果不错  价格平民 夏天了  补水补起来  ????????? 晚上试试
油皮买错了，这个是干皮的有需要的妹子可以联系我，试用了一下小样还不错
带起来蛮舒适
个人情况：皮肤偏干，但是夏天用这个哑光的效果赞赞的！持妆效果很不错，是用了试用装回购的！
一来就是断的 懒得退货  不如火烈鸟好用
东西太一般了没有说的那么好并且还干，干死了。去哪里找湿润
非常满意。
不错。。。。。。
从去年开始用，觉得还不错，洗完滑滑的也不干
不错，用完感觉皮肤很滑很嫩
挺好用的 一个洗澡用 一个洗脸用 搓出的泡面细腻 喜欢 价格实惠
上午拍的下午就到了，物流没得说，用这牌子两年了，其它面膜再没用过
比较失望，根本不是喷雾里面是水
感觉还可以，就是小的没有粉扑。
不值这个价格！胶水味太重太重了！我洗过了再用味道还是很重，每次刷散粉的时候都超级刺鼻的 ，难受
就在脸上试了试，那一片就冒出几个痘痘来...浮粉而且也不闪...虽然一分价钱一分货，但是也没想到这么差...(￢_￢)
妆感比较厚重，上脸很舒服。
是正品，包装的很好，很划算，等用完了再来，很满意的一次购物
整体描述：包装一般，样品确实适合旅行携带，效果不大好，洗了脸有点发痒 
物流挺快的，用了好几天了，感觉还不错哦！
呗呗兔美女的东西都不错
用过一瓶觉得还行，皮肤状况一直很稳定，补水挺好的
不要买质量差死了夹了两次坏了??????????
好评，一直用这款睫毛膏，物美价廉，下次还来
是正品。买几次了，非常好用。
这款面膜我喜欢，水份多滑溜溜的价格又合适，大爱。下次再来。
不锋利，虚假宣传，没用
东西好脏 确定能用脸上？
感觉不错?商家还送了2个替换芯?用过之后再来评价，
感觉有很奇怪的味道，亮片也不容易上，总之没有达到理想的高度。有点失望
不好用，卡粉
根本就不能控制油和汗水，容易浮粉，虽然没有过敏的现象
帮我小姨买的 还不错
很清爽，容易吸收
东西很齐，很不错哦，值得拥有
物流很快，很干爽，适合油皮
属于油皮肤质，脸上有点豆豆，爱美的女生真是伤不起啊，这个还蛮不错的，希望有所改善，用段时间会来追评的
很不错，一如既往的好
还保持的啊，不错(n呢
很好用的一款隔离，价格也不会很贵！
春节的时候没了，  买了一盒好贵哦。  现在有活动，赶紧买买买！！！
正在用，补水效果不错
包装仔细，发货速度很快，去角质磨砂膏用了效果非常不错??用后皮肤光滑细腻不紧绷，其他的还没有用呢。618店铺活动很划算，呗呗兔的介绍很详细，听了她的介绍一下屯了很多，应该都不会错的，还会继续关注的！
包装非常仔细、严实！发货速度非常快！我要给好评&hellip
味道很奇怪，一股油漆味，简直辣眼睛，风刮那么大也不知道防晒效果怎么样，用着看看吧
美不美，自己看，反正小公主是喜欢的不得了
很稀饭～买了好几次啦
不遮瑕控油就那样不好吧
效果很好用了有种清爽的感觉很舒适满意。
现在用的所有护肤品都是****的了，超好用，年货节还送了很多小样，很划算了
挺好闻的，不假白亮肤滋润，第一次买到那么好的隔离霜。
好漂亮的镜子啊！漂亮漂亮！
挺不错的物美价廉，满意
洗的很干净。脸上滑滑的很舒服。值得购买。服务也好周到。送的礼品也很值。大赞
很好用，这款的气味也很好闻，每天简单涂抹一些隔离霜，气色都会好很多
非常满意，用一段时间再来。
效果几乎没有，而且收缩水几乎没用
还行吧 一分价钱一分货
****东西速度基本没的说，送人的就是表面被压扁了.....
挺好的哦！
拍下第二天就收到啦！赠品和介绍的一样！
用着还算可以～
清洁能力：一般般吧 
十年前用过这个品牌的隔离霜，没想到现在又用上了，效果不错
个人情况：25岁， 使用效果：香香的，不干 整体描述：个人觉得效果还不错
洗完脸还是会紧缩，正不正品不知道，反正就是渣货
涂开化水很清爽
特别好！我本人比较懒，没有坚持天天用，但是隔了一段时间再看自己，真的有变白耶！用完了会持续购买的！棒棒哒～推荐哦
收到喽物有所值特别的好用以后回经常来的
用了挺水润的，很喜欢
之前用过，很好，还便宜，值得购买
看了这包装都没心情了，不知道是不是正品
洗面奶用过很好，很清新，用完透凉风 推荐购买
好用！！！很喜欢，刚开始只是尝试下，可是很满意呀
不错，速度快，东西用后再说
超级棒的
618活动买的，晚上洗脸擦了些面霜，不油，吸收挺快的，价格挺划算的，赠了四个小样
送货速度快包装很好
之前买过，感觉还不错
应该还可以吧。
镜子很轻很轻.里面的镜片都不怎么牢.做工也太差了.镜子拿起来.里面就隆隆隆的响.跟要散架了一样
一点都不好看，包装跟不用说，丑爆了
抢到一个19毫升的，很划算。希望使用效果会很好。
太荧光了
说是说两支，有一支不能用。
第一次买这个，还送了卸妆水和面膜，蛮不错的，希望有效果，下次还会来
给妈妈买的，湿润，好用，妈妈很喜欢
跟店里买的一模一样，很喜欢，也很好用！
搞活动买的，还没用，希望好用。
种类很多，用了才用第一天，还不清楚效果怎么样，先给五星
宝贝很好，和卖家描述的一样，用完还会来的
面膜非常不错  优惠日买的  用完皮肤是水光质感 自然很美
挺好的 期待效果
买了好多面膜，打算用到到明年双十一了，承包了已经这个真的超好用，用完脸润润的
一流产品，三流快递，直接下降成二流产品！得不偿失！
价格优惠，泡沫多，洗后不紧绷，特别干净
宝贝到货后非常好，推荐购买
不错哦，挺好用的，保湿补水
不错媳妇用着挺好的
产品已经不是第一次购买了，很便宜，也很见效，是真的去黑头但是也去汗毛，一起粘下来了
今天用了，感觉好轻薄哦，不油不熏，不知道效果怎么样。目前来看很喜欢。
个人情况：日常淡妆 整体描述：比较小巧 上妆效果：容易上色 持久情况：一般不补妆 适合肤质：油性 整体感觉不错，性价比高 
面膜用着还可以，就是面膜贴有点不合格，一贴到脸上就变形了，
实惠，回购很多次了，速度很快，第二天就到了
不错，618买的，赠品量很多
喜欢，还没有用
大品牌就是不一样啊，裸感十足，谢谢赠品
好用 摸上很自然
还没有用，听人介绍才买的，快递超快的！
没得说！好用
很香很香的。推开也不错，白白嫩嫩的
回头客了，满意
特别好用清爽不油腻
一直用的***，比较清爽，喜欢
回购了无数次了，非常好用
物流给力，第一次换这个牌子，希望能带来惊喜！
面膜很好，一直用他家的，很好用哦！
小巧精致，携带方便
遮暇力度不够，但是不油腻，上妆服帖。总的来说性价比超高！！！！！喜欢
用着感觉相当不错，很水润，很舒服，以后会一直买
买来试了试，特别好，长按键打开，再按一下速度会加快，很好的解决了小胡子的烦恼，以前用的插电的，现在升级版充电式，携带用着很方便！清理得很干净！
很不错的产品，满意
用了一下，不错，保湿挺好的，还送了面膜的收容盒子，快递很快，第二天就到了
很好，用了脸上小痘痘都没了，以后会经常光顾的
买来还没用，看着不错呢
清洁能力：洗挺干净又挺保湿不干燥
一直都用该品牌的洗面奶，非常满意，推荐给朋友使用。
很好看，质量不错
镜子都是烂的
特别好用，因为我的皮肤比较干，而且角质层很薄，容易过敏，用了这款真的特别好！以后就用这个了
补水效果非常好，敷完水嫩嫩的精华很多，皮肤光滑。很保湿不刺激。
不油腻，油皮涂完之后还是哑光的感觉，真的很喜欢这个质地
不直在用，喜欢
刚收到就试了，确实辣眼睛~
已扫码验过是正品??
